story_id,premise,initial,counterfactual,original_ending,edited_ending,differences
df814f59-c2a9-4586-b884-e6ddb1e1f4e5,Ally and Jill went for a walk.,It was cold outside and it started to snow.,It was a gorgeous sunny day.,They were far away from their house and started to get very cold. They decided to knock on a stranger's door for some help. The stranger offered them hot chocolate.,They were far away from their house and started to get very hot. They decided to knock on a stranger's door for some water. The stranger offered them iced tea.,"tea., hot., iced, water."
f5f6f505-3394-4e87-a95f-0bc9462902c0,I went to the park to play frisbee with my dog.,I tossed the frisbee to my dog and he would catch it in his mouth.,I cut up the frisbee in front of my dog.,I accidentally threw the frisbee too far. The frisbee landed into the pond. But my dog went and got it.,I threw the frisbee in the trash. Pieces of the frisbee blew into the pond. My dog tried to get the pieces.,"tried, pieces., trash., to, blew, of, My, in, Pieces, get"
3bc8226c-47cf-4b21-9e68-238e79968dc4,Pam left her son with a new babysitter.,She told her that her son was allergic to peanut butter.,She told her that her son loved peanut butter.,But the babysitter gave him peanut butter oatmeal. The babysitter had to call the hospital. Pam was furious with the babysitter.,The babysitter gave him peanut butter oatmeal. The babysitter then put him to sleep. Pam was happy with the babysitter.,"sleep., then, put, happy"
2936e40e-5aab-435a-bf3c-3a1de62ed338,Amy wanted to make waffles for breakfast.,She whipped up some batter quickly.,She couldn't find a recipe anywhere.,She poured the batter into the maker. When she was eating them there were lumps of dry batter. Amy was disappointed.,She decided to try to make them from memory. When she was eating them there were lumps of dry batter. Amy was disappointed.,"decided, try, to, memory., from, make"
50b6471a-3be3-40b3-b18e-dd2ecff0ff47,Ivy needed a way to feed her family on Thanksgiving.,She entered into her local grocery store's raffle for a turkey.,She went to the local grocery store and stole a turkey.,"She submitted her receipts every week with her phone number on them. A week before Thanksgiving, Ivy got a happy phone call. She had won the drawing and the turkey was hers.","She slipped in under her shirt and pretended to be pregnant. A week before Thanksgiving, Ivy got a scary phone call. She had been caught on a security tape and was going to be fined.","slipped, pretended, shirt, to, under, been, pregnant., security, tape, fined., be, in, going, scary, caught"
2657a777-a5fd-4be8-9ef0-99d382bab8e1,A family was driving home from vacation in Florida.,They noticed a space museum and decided to stop.,"They were in a rush to get home, because they had forgotten to leave enough water for the dog to drink.","They went inside and checked out all of the exhibits. After that, they watched a movie about space. The family was glad they spotted the museum.","They went inside watered the dog and checked out all of their messages. After that, they watched a movie on TV. The family was glad they remembered the empty water dish.","messages., dog, TV., empty, on, watered, their, dish., water, remembered"
c64ec79f-924a-451f-8f4c-e17e39a3bf16,My cane has a strap.,The strap is attached to the end of the cane.,"The cane is very valuable, and I was broke, so I took it to an antique shop to sell.",The attachment kept coming off. I looked for a different strap. I bought a different strap.,The strap kept coming off. They wouldn't give me much money for it. I was upset.,"money, wouldn't, much, give, was, me, They, upset., it., strap"
6a2ec902-6dc4-449a-acbe-2800b3c9d75c,Hannah had a beautiful cat that she loved very much.,"However, she noticed that her cat was getting very old.",Hannah's cat died of old age in her arms.,"One day, her cat ran away and never came back. Hannah was devastated. She never saw her beautiful cat again.",Hannah was not ready for this day to come. Hannah was devastated. She buried her cat and never saw it again.,"not, day, come., for, to, buried, it, this, ready"
17447bac-e483-46e8-b435-5374dcbd96ac,Mark and Andy worked at a pizzeria.,They both loved to make pizza.,They both hated making pizzas.,One day they decided to open up their own pizzeria. The pizzeria became very busy and profitable. Their business became a success.,One day they decided to open up their own pizzeria and hire someone to make pizza The pizzeria became very busy and profitable. Their business became a success.,"hire, make, pizza, someone"
63fd4365-480e-4590-9fc3-897c43bda02a,Avery needed to get to work.,She wanted to take the bus or a cab.,She wanted to take the bus or a cab but was too sick for work.,"She found she had no money, credit cards or tokens. She realized that she had no options but to walk. Avery put on her shoes and began her trek.",She found she had no medicine. She realized that she had no options but to call out sick. Avery picked up her phone and called her boss.,"out, picked, phone, called, call, sick., boss., medicine., up"
199c6b70-7344-4879-96f0-33d97c3ff03e,Joey's little sister was bugging him.,He thought it might be funny to trip her.,He thought it might be funny to give her a hug.,"He tripped her, and she started crying. Their mom ran into the room. Joey spent the afternoon alone in his room grounded from friends.","He hugged her, and she started laughing. Their mom ran into the room. Joey spent the afternoon in his room playing with his sister.","sister., hugged, laughing., with, playing"
4c70ef85-39c9-40b5-b8c2-ed583a4fec32,Petey held the high score in the pizza parlor's arcade cabinet.,It was a campaign fighting game from the 80s.,Petey returned years later and the machine was still there.,One day Petey went in and the machine was gone. The staff informed him that it had broken down. Petey was so disappointed that the game was gone.,He was no longer the high score. The staff informed him of the new high score. Petey was disappointed that he no longer had the high score..,"longer, he, He, of, no, score., new, high, score.."
9d27e9f6-6abc-4a6f-84f9-9000e3418e9f,Missy bought a ticket to the carnival.,"She went in and looked around, open mouthed.",She was disappointed to see it was rundown and dirty when she got inside.,She loved all the games and rides! She spent the whole day having a great time. Missy decided to go back to the carnival the next day.,She disliked all the games and rides. She spent the whole day having a bad time. Missy decided she'd never go back to that carnival.,"never, she'd, carnival., that, rides., bad, disliked"
d84a7f60-afc4-477d-93d6-7fad71931df7,Barbara was excited to get her ears pierced.,Barbara's mother took her to the jewelry store at the mall.,"Barbara's mother forbade her from doing so, so she took her toy shopping instead.",Barbara picked out her earrings. The worker pierced her ears with a piercing gun. Barbara loved the earrings and loved wearing them.,Barbara picked out some fake toy earrings. The cashier checked them out. Barbara loved the toy earrings and loved wearing them.,"fake, toy, checked, cashier, them, out., some"
a0373c9e-2420-40b0-ba01-b7afd571dc2d,Angelina wants to make an apple pie.,She has the apples but they need to be peeled.,She has the bananas but they need to be peeled.,She starts peeling. Finally they are all peeled. Angelina finishes making the apple pie.,She starts peeling the bananas Finally they are all peeled. Angelina realizes her mistake and starts making banana bread,"mistake, banana, her, and, realizes, bread, bananas, peeling"
462f4732-5321-4ed5-ad67-2f7bb3668062,Peyton and Tom played football often.,Tom always won for many Year's.,Peyton always won for many years.,Peyton never gave up and kept practicing. Peyton finally beat Tom at a game of football. Tom was a bad sport and punched Peyton in the face.,Tom never gave up and kept practicing. Tom finally beat Peyton at a game of football. Peyton was a bad sport and punched Tom in the face.,
854f0356-3888-404a-8cd7-64e11b037024,Amy's class was going to the museum on a field trip.,Amy was excited to view the King Tut exhibit.,Amy did not want to go and thought it would be boring.,Amy asked the information desk where to find the exhibit. The lady informed her the Exhibit left the month before. Amy became sad.,Amy asked the information desk where to find an exhibit that actually might be interesting. The lady informed her the Exhibit left the month before. Amy became sad.,"an, exhibit, interesting., actually, be, that, might"
eb3e1ca4-0942-4330-9794-78716e688d50,The other night my husband and I met our friend Greg for pizza.,"Greg ordered a pizza with anchovies, olives, and sun dried tomatoes.","But Greg turned up drunk, and decided to order more beer instead of any food!",Greg offered my husband a slice. Neither of them could eat more than one slice because it was so salty! They ended up taking the pizza to go.,Greg offered my husband a glass. Neither of them could drink enough because they were so thirsty. They ended up getting more drunk.,"enough, getting, glass., drunk., they, drink, were, thirsty."
86eb7bfa-bef9-4b9f-ad5c-5679adbdd654,I called Carly to ask her on a date.,I got her voicemail.,She said that we should just stay friends which made me really sad.,"I texted her that we should talk soon. She texted me back, asking why we should talk soon. I told her I liked her.","I texted her that we should talk soon. She texted me back, asking why we should talk soon. I told her I liked her and that she should rethink things.","she, rethink, and, things."
37de4396-8339-4563-b523-75d83003cb4b,I rescued a kitten from the pound.,"He was adorable, sweet, purebred and free.","He was adorable, sweet, purebred and healthy.","The first morning he started acting ill, not eating and listless. The vet ran a myriad of tests and found several things wrong. I was sad my kitten was so ill.","The first morning he started acting happy, was eating and energetic. The vet ran a myriad of tests and found nothnig wrong. I was happy my kitten was so healthy.","healthy., nothnig, happy,, happy, energetic."
5d3c83c5-54f9-4217-94ff-345e6ccb81df,Lara liked to watch music videos on YouTube.,One day she was scanning popular music on the website.,One day she was scanning popular music on the website but the electricity went out.,She found a music video by the artist Chris Brown that she liked. She felt conflicted because of the reputation of the artist. Lara decided his personal life didn't matter and enjoyed it.,She turned on her battery powered radio and Chris Brown was on. She felt conflicted because of the reputation of the artist. Lara decided his personal life didn't matter and enjoyed it.,"her, powered, battery, radio, was, on, turned, on."
9b290c9d-18e4-4497-8477-6387e774bc4f,Larry hasn't eaten all day.,He is afraid he doesn't have any food at home to eat.,He stops at a sandwich shop and eats a ham and cheese on rye.,Finally he notices that he has instant noodles in his cupboard. He boils water to cook the noodles. He has noodles for dinner.,Finally he notices that he has instant noodles in his cupboard. He boils water to cook the noodles. He has noodles for a second dinner.,"a, second"
fadad3a2-fadf-4c61-b835-621f413a59e9,Kelly really wanted a tattoo.,She begged her parents but they said no.,"Her parents were very liberal, and had no problem with her getting one.","As a result, she went and got one anyway. When she got home, her parents found out. Kelly was grounded for a week.","As a result, she went and got one with their blessing. When she got home her parents looked at the tattoo. Kelly was happy with her new tattoo.","home, blessing., happy, the, with, new, looked, their, at, tattoo."
98010215-383a-4188-80d5-d00e3db65835,Anna and Jessica were best friends for most of their lives.,"One day at school, Jessica heard Anna saying bad things about her.","One day at school, Jessica heard Anna telling a teacher how helpful Jessica could be.","When Jessica confronted Anna, she lied about it. Jessica knew she could not trust Anna. Jessica was sad that she had lost Anna as a friend.","When Jessica thanked Anna, she blushed about it. Jessica knew she could trust Anna. Jessica was glad that she had  Anna as a friend.","thanked, blushed, glad"
ef1a7282-ae68-4fa3-a812-26f7a541c881,Jay was falling behind in math class.,"There was an exam at the end of the week, and he was very nervous.","There was an exam at the end of the week, and he was already prepared.","Jay hired a tutor, but it wasn't enough. The night before the test, Jay stayed up all night studying. Jay barely passed the test.","Jay hired a tutor to prepare him even more. The night before the test, Jay went to bed early and slept well. Jay aced the test.","bed, went, and, to, aced, well., slept, tutor, more., prepare, him, early, even"
9923ddb7-9df6-4514-8db5-7993af72abd3,James was participating in a talent show at school.,James was going to sing but was very nervous and nauseous.,James was feeling confident about the dance he had prepared.,"He finally stepped up on stage and prepared to sing. However, as soon as he began to sing, he threw up all over himself! James was so embarrassed that he ran off the stage.","He finally stepped up on stage and prepared to dance However, as soon as he began to dance, he threw up all over himself James was so embarrassed that he ran off the stage","dance, dance,, himself"
02e6d026-bf8c-405b-8a47-a17c3b00e8ba,Molly wanted a new outfit for the first day of school.,She did extra chores to save the money to go shopping.,She asked her best friend if she had any clothes she could borrow.,"At the store, she found an outfit she thought looked unique. She excitedly dressed in the new outfit and headed to school. Everyone complimented her on her choice in clothing.",At her friend's house she found an outfit she thought looked unique. She excitedly dressed in the new outfit and headed to school. Everyone complimented her on her choice in clothing.,"friend's, house"
45f26dd9-34dc-4847-bc17-6bbfa58f0b9b,Sam had been living on the street for Years.,He survived by begging for money.,He survived by begging for lottery tickets.,One day a stranger gave Sam a lottery ticket instead of cash. Sam won a million dollars! Sam bought himself a nice house and was very grateful.,One day a stranger gave Sam a lottery ticket as usual. Sam won a million dollars! Sam bought himself a nice house and was very grateful.,"as, usual."
0b9a9064-a4af-43af-b65c-9f123563c00d,It was a cold winter night.,The roads were slippery.,Jim decided to stay home since roads were slippery.,Jim was driving home from work. He lost control of his truck. Jim ended up in the hospital.,He ordered delivery He got food poisoning Jim ended up in the hospital,"ordered, got, hospital, delivery, food, poisoning"
57ab0770-20aa-47c7-9741-b933d35ca9b0,Tia went out to a bar one night with a guy she'd just met.,The unscrupulous guy drugged Tia's martini when she wasn't looking!,"He was a gentleman, and treated her with respect.","Poor Tia, unsuspecting, drank the martini and became very groggy. She remembered nothing until she woke up naked the next morning. She went to the police and filed a report.",Tia drank her martini and had a great time. She remembered the whole night and told her friends the next morning. She went on another date with him.,"her, told, whole, night, had, on, time., him., with, great, date, friends, another, Tia"
58a73174-3f0b-4470-8a5e-ffca709af077,Tim got his first job.,But it required him to sit for long hours.,Unfortunately it didn't work out and he was fired the next day.,"Tim wanted to spend the money he earned on a car. But instead, he had to spend it on back surgery. His back felt much better after surgery.","Tim wanted to save the money he earned on a car. But instead, he had to spend it on going to new job interviews. He soon found a new job.","found, He, interviews., save, soon, job, going, new, job."
bd5285ad-4f22-416e-8a98-65465aa28894,Eric had worked at a large law firm for 30 years.,On his 68th birthday he had decided it was time to retire.,One day he had a huge heart attack in the lift and didn't make it through the night.,His friends threw him a large party. They gave him many gifts and they shared old stories. Eric then left work to go settle down.,His friends all attended the funeral The gave his widow gifts and shared old stories. Eric's wife had to settle down without him.,"down, The, Eric's, had, attended, funeral, the, wife, him., his, without, widow, all"
deb144db-8fc2-4831-9f81-ffbf2ce4672a,I brought home a stray cat to my girlfriend.,She always told me she loved cats.,Her face lit up when I showed her.,I thought I was about to get a ton of boyfriend points. I must have miss a key detail in her cat story. She was mad when I showed it to her.,I was about to get a ton of boyfriend points. The cat meowed at her. She was so happy when I showed it to her.,"so, The, happy, at, meowed"
adfc4099-d29d-45f2-8c7d-da2bc2682d4f,Dave decided one day he wanted to go see a hockey game.,He ordered a few tickets.,He ordered a live stream of the game.,"He then invited some of his friends. They all went to the game, and had a good time Dave was happy that he went to the hockey game.",He then invited some of his friends over. They all watched the game and had a good time. Dave was happy that they watched the hockey game.,"game, time., they, watched, friends, over."
3198049a-35c7-4d32-871a-14a49d56cce7,Carl sent a valentine to the girl he liked named Katie.,But the college mailroom accidentally delivered it to the wrong Katie!,The college mailroom delivered it to the correct Katie.,"The wrong Katie was delighted by the valentine she thought was hers. Out of pity, Carl took her on a date that night. Katie found out and then was very hurt.","The right Katie was delighted by the Valentine she thought was hers. Out of joy, Carl took her on a date that night. Katie was so glad and was very pleased.","so, joy,, right, pleased., Valentine, glad"
eb56f49c-9707-44ad-ad5c-6249bec09e49,Ashley was packing all her belongings.,She was moving far away to a new city.,She decided not to move after thinking about it.,She was really upset about leaving her friends. However she got on the train with her suitcases anyways. She thought about her friends during the train ride.,She was upset by the thought of leaving her friends. She tore up her train ticket and started unpacking her suitcases. She thought about her friends during the task.,"and, started, of, ticket, unpacking, task., tore, by, suitcases., up"
efee5fe8-cc2a-4613-8997-0a9dd14aa9bf,Ted went for a drive one day.,He drove all around town and looked at who was out and about.,He drove to his house and looked out the window all day.,"Then, he drove to a more remote place. He stopped, got out of his car, and ate a picnic lunch. He enjoyed the weather.","Then, he moved to a quieter room. He sat for a while, got up, and ate lunch. He enjoyed the solitude.","up,, for, room., moved, sat, while,, solitude., quieter"
d4658ee8-28bd-414b-9bb2-7874a6facec5,The Waltons hadn't had a vacation in Years.,This last summer they decided to drive to the beach.,This last summer they decided to fly to the Alps.,The family drove for hours and stopped a few times along the way. They spent five days at a nice hotel at the beach. The Waltons were very relaxed.,The family flew for hours and had to change planes too. They spent five days at a nice hotel at the Alps. The Waltons were very relaxed.,"to, had, planes, change, flew, too., Alps."
fcf74947-fcc5-4e5d-bdc1-63a18eaef1e7,I was teaching my son to throw a football.,He couldn't grasp the ball in one hand.,He learned very quickly and was able to throw a nice sprial.,He used both hands to throw it to me like a basketball. Then he lobbed it to me underhanded. I hope he gets better at it.,He used both hands to throw a football. The he switches to one hand. I'm so glad he's doing good.,"so, The, doing, hand., good., I'm, football., he's, one, switches, glad"
dfc1fecf-7f42-4866-aa26-1371b985ab05,Beth's daughter was coming to town and bringing her kids.,Beth was excited to see her grandchildren.,Beth was excited to see her grandchildren but got too sick to see them.,When her daughter arrived she played and baked cookies with the kids. The kids stayed 2 weeks before returning home. Beth and her grandchildren baked cookies everyday!,"When her daughter arrived she played alone with the kids, and baked cookies without grandma. The kids stayed 2 hours before returning home disappointed. Beth vowed to bake cookies for her grandchildren next time.","home, kids,, for, to, disappointed., vowed, next, time., grandma., without, bake, hours, alone"
7bc76fae-f97a-486b-a9b1-6b2a69049c92,Steve decides to have an Easter egg hunt at his house this weekend.,"He buys a dozen eggs, colors them, and hides them in his yard.",His friend suggested that they do a hunt at her house instead.,Steve announces the hunt to all of his friends with kids. Everyone has a great time at Steve's Easter egg hunt. Steve is proud of his egg hunt.,Steve announces the new location to all of his friends with kids. Everyone has a great time at Steve's friend's Easter egg hunt Steve is proud of his friend.,"friend's, location, friend., new"
52951275-b083-4699-96aa-b9b51a1dcdbf,Susie got a baby goat at the fair.,She brought it home.,She took it to the nearby animal shelter.,Her mom said she had to keep it outside. Susie was worried about the goat. Susie loved the goat very much.,Her mom said she did the right thing. Susie was worried about the goat. Susie loved the goat very much.,"right, thing., did"
c24717a8-f206-486c-89e7-9978dbb703f5,One day Tommy and his friend Bill took a road trip.,They jumped in the car and drove away.,They got on a train and rode away.,"They drove to the ocean. They got out and ran beside the beach. Tommy couldn't swim, so he just watched Bill go into the surf.","They plan to go to the ocean. They got out of the train and ran beside the beach. Tommy couldn't swim, so he just watched Bill go into the surf.","of, plan, train"
8b2c6833-04be-48dc-8abf-bdc08b111026,The light bulb blew in Amy's bathroom.,"She went to the kitchen to get another, but they were all gone.",She got her husband to fix the light.,Amy went to the store to purchase light bulbs. When she arrived the store was closed. Amy was upset.,He went to the store to purchase light bulbs When he arrived the store was closed. Amy was upset.,"He, bulbs, he"
